0,start,始める
1,role,役割、役
2,roll,転がる/ を転がす
3,healthy,健康な
4,mammal,哺乳動物
5,produce,を生産する/　農産物
6,reproduce,を再生する / 繁殖する
7,suffer,苦しむ　害を受ける/ を受ける
8,lack,不足 / を欠いている
9,curious,好奇心の強い　奇妙な
10,however,しかし　どんなに～でも
11,nevertheless,それにもかかわらず
12,nonetheless,それにもかかわらず
13,ape,類人類
14,mark,印 点数 標識 / に印をつける　を示す
15,target,的　達成目標 / を狙う
16,skin,皮膚　皮
17,tooth,歯
18,decay,腐る　荒廃する / 腐敗　衰退
19,area,地域　分野　面積
20,bleed,出血する
21,plenty,たくさん
22,fresh,新しい　新鮮な
23,drug,薬　麻薬
24,amount,総額　量 / 総計～に達する　等しい
25,sum,金額　合計　要点 / を要約する
26,mind,精神　頭脳　意見　記憶力 / 嫌がる　気をつける
27,definition,定義　限定
28,numerous,多数の
29,separate,を分ける　を引き離す　を区別する / 離れた　別々の
30,split,を分ける/ 分裂する / 分け目　裂け目
31,isolate,を孤立させる　を隔離する
32,usual ,いつもの
33,poison,毒
34,carefully,注意深く　注意して
35,control,を支配する　を抑制する / 支配　抑制
36,discipline,訓練　しつけ　規律 / を訓練する　を罰する
37,alcohol,アルコール　酒
38,instance,実例　場合
39,instant,即刻の　即席の / 瞬間
40,depend,頼る　当てにする / ～次第である
41,history,歴史
42,tie,絆　ネクタイ　同点 / を結ぶ　をつなぐ
43,bond,絆 / をくっつける
44,culture,文化　教養
45,cultivate,を耕す　を栽培する　を養う
46,plant,植物　工場 / を植える
47,biology,生物学
48,unique,特有の　唯一の
49,peculiar,奇妙な　特有の
50,matter,問題　事態　物質 / 重要である
51,taste,味　好み / 味がする / の味を見る
52,flavor,風味　趣 / に風味をつける
53,cause,を引き起こす / 原因　根拠　主義
54,persuade,を説得する
55,fact,事実
56,treat,を扱う　を治療する　におごる / おごり　もてなし
57,belong,所属している
58,pick,選ぶ　摘む　掘る
59,wolf,オオカミ
60,raise,を上げる　を育てる　を集める　を提起する
61,rear,後部 / 後部の / を育てる
62,lift,を持ち上げる　を高揚させる
63,breed,子を産む / を育てる
64,female,女性の　雌の
65,birth,誕生　出産
66,dawn,夜明け　始まり
67,dig,掘る　突っ込む　探求する
68,hole,穴　欠点
69,gap,割れ目　空白　相違
70,within,の内部に　の範囲内で　～以内に
71,while,する間に　の間ずっと　その一方で / 時間
72,moment ,瞬間　時
73,hunt,狩る　捜す / 探索　狩り
74,instead,その代わりに
75,behind,後に　劣って
76,guard,を守る　を見張る / 警備員
77,physical,身体の　物質の　物理的な
78,manual,手の　手を使う / マニュアル
79,gesture,身振り
80,meaning,意味　意図
81,misunderstand,誤解する
82,signal,合図　信号 / に合図する
83,embarrass,を困らせる
84,foreign,外国の　異質の
85,alien,外国の　異質な / 外国人　宇宙人
86,domestic,国内の　家庭の
87,overseas,海外へ / 海外の
88,count,を数える / 重要である / 計算
89,countless,無数の
90,counterpart,片方　似たもの
91,calculate,を計算する　と見積もる
92,index,索引　目録　指数　指標
93,common,共通の　普通の
94,familiar,なじみのある　精通した
95,mutual,相互の　共通の
96,puzzle,を困らせる / わからないこと　パズル
97,mystery,不思議　神秘
98,reply,答える / 答え
99,effective,効果的な
100,efficient,効率的な　有能な
101,mask,を隠す / マスク　仮面
102,feeling,感情　意見　感覚
103,psychologist,心理学者
104,philosophy,哲学　人生感
105,claim,を主張する　を要求する / 主張　権利　要求
106, false,間違っている　嘘の
107,fake,偽物の
108,muscle,筋肉
109,surround,を囲む
110,tight,きつい　固定した　厳しい　余裕のない
111,cheek,ほお
112,pull,引く　車を寄せる
113,lip,唇
114,upward,上に向かって / 上方への
115,forward,前に　将来に向かって
116,slightly,わずかに
117,subtle,微妙な
118,perhaps,ひょっとすると　だいたい
119,less,より少ない
120,least,最小 / 最も～でない
121,temperature,温度　体温
122,seem,のように思える
123,confuse,を当惑させる　を混同する
124,describe,を言い表す　を描く　を説明する
125,respond,反応する　答える
126,correspond,合致する　相当する
127,simple,単純な　簡単な　質素な
128,complicated,複雑な
129,complex,複雑な　複合的な
130,explanation,説明　真相
131,nerve,神経　神経質　勇気
132,neuron,神経単位　（ニューロン）
133,react,反応する　反作用する　反抗する
134,chemical,科学製品 / 科学の　科学的な
135,rise,上昇　増加 / 上がる　起きる　出世する
136,soar,急上昇する　舞い上がる
137,expression,表現　表情
138,metaphor,隠喩　象徴
139,therefore,したがって
140,reflect,反射する　反映する　よく考える　もたらす
141,clothes,衣服
142,convenient,便利な　都合の良い
143,though,～にもかかわらず
144,discrimination,差別　区別
145,prejudice,先入観　偏見
146,blas,偏見　先入観
147,reason,理由　道理　理性 / 推論する
148,logic,論理
149,rational,理性的な　合理的な
150,past,過去 / 過去の / を過ぎて
151,quite,かなり　まったく
152,pretty,かなり / かわいらしい
153,expensive,高価な
154,rich,裕福な　豊富な
155,poor,貧しい　粗末な　かわいそうな
156,afford,～する余裕がある
157,wealthy,裕福な　豊富な
158,servant,召使い
159,slave,奴隷　とりつかれた人
160,master,主人 / を習得する
161,dress,に衣服を着せる / ドレス
162,regard,ＡをＢとみなす　を尊重する / 敬意　注意
163,symbol,象徴　記号
164,power,権力　能力　エネルギー　強国
165,dye,染料 / 染まる
166,elegant,上品な　理論整然とした
167,polite,礼儀正しい　丁重に
168,rude,無礼な　粗雑な
169,ancient,古代の　昔からの
170,coast,沿岸　海岸
171,shore,岸
172,Mediterranean,地中海の
173,discover,を発見する　に気づく
174,finding,発見　報告　判決
175,shell,貝殻
176,unlike,と異なって / 異なった
177,liquid,液体の / 液体
178,solid,故知の　固い　しっかりした / 固体
179,contact,接触　連絡　関係 / と連絡を取る　と接触する
180,access,接近
181,let,～するのを許す　～の状態にさせる
182,allow,を許す　を認める
183,forgive,を許す
184,smell,の匂いがする　の匂いを嗅ぐ / 匂いを発する
185,branch,枝　支店
186,space,場所　空間　用地　宇宙
187,burn,焼ける　燃える
188,perfectly,完璧に / まったく
189,previously,以前に
190,support,を支える
191,prove,を証明する / とわかる
192,demonstration,を証明する　を実演する / デモをする
193,somehow,なんとかして　どういうわけか
194,composition,構成　作品　作文
195,consist,成る　存在する
196,celebrate,祝う
197,annual,年1回の　1年間の
198,experiment,実験 / 実験する
199,collapse,崩壊　倒れる
200,survive,生き残る / から生き延びる　より長生きする
201,observation,観察　監視
202,lead,を導く　を率いる / 通じる / 首位
203,guide,案内人　指導者 / 案内する　指導する
204,offer,を提供する　を申し出る / 提供
205,theory,理論　学説　推測
206,academy,学士院　専門学校
207,restore,を戻す　を修復する
208,breathe,呼吸する
209,blow,吹く　息を吐く / 打撃
210,sigh,ため息
211,remove,を取り除く　を移す
212,eliminate,を取り除く
213,exclude,を除外する
214,oxygen,酸素
215,disappear,消える
216,fade,色あせる　見えなくなる
217,vanish,消える
218,bank,銀行　土手
219,stick,を貼り付ける を刺す 行き詰まる / くっつく / 棒きれ
220,bush,灌木　茂み
221,police,警察
222,fur,毛皮
223,suspect,を疑う　だと思う / 容疑者
224,attempt,を試みる　～しようとする / 試み　攻撃
225,dare,あえて～する
226,tempt,を誘惑する
227,suicide,自殺
228,marriage,結婚
229,seriously,まじめに　深刻に
230,despite,にもかかわらず
231,grave,重大な　真剣な / 墓穴
232,extensive,広範囲の　大規模な　広大な
233,extend,を延長する　を広げる / 広がり
234,stretch,を引き延ばす　に及ぶ / 伸びる
235,search,捜査　追求 / 捜す
236,whole,全体の / 全体
237,clue,手がかり
238,notice,に気づく / 注意 掲示
239,overlook,を見落とす　を見下ろす　を大目に見る
240,guest,招待客　宿泊客
241,audience,聴衆　視聴者
242,client,依頼人　取引先
243,passenger,乗客
244,similar,似通った　同類の
245,alike,同様の
246,parallel,平行な　類似の / 類似点 / 平行に
247,resemble,に似ている
248,missing,行方不明の　欠けている
249,ring,鳴る　電話をかける / 輪　音
250,rush,急いで行く / 忙しさ
251,act,行動する　振る舞う / 行為　法律 / を演じる
252,passive,受動的な　無抵抗の
253,completely,完全に
254,utter,を発する　を延べる / まったくの
255,recognize,を認識する
256,cognitive,認識の
257,memory,記憶　思い出　記憶力
258,monument,記念碑　遺跡
259,loss,紛失　損害　死　敗北
260,due,～のせいで
261,incident,出来事　事件
262,follow,～に従う　～の跡を継ぐ
263,precede,より先に起こる
264,flow,流れる / 流れ
265,stream,小川　流れ
266,divorce,離婚 / 離婚する
267,ironic,皮肉な
268,paradox,矛盾　逆説
269,aware,気づいて　知って
270,conscious,気づいて / 意識的な
271,protect,を保護する　を守る
272,defend,守る　防御する
273,dirt,泥　ほこり　汚れ
274,bacteria,バクテリア　細菌
275,function,機能　役割 / 機能する
276,sense,感覚　思慮　意識　意味 / を感じる
277,rough,ざらざらした　おおよその　粗野な
278,smooth,平らな　なめらかな　順調な
279,surface,表面　外観
280,determine,を特定する　を決定する　を決心する
281,pale,青白い
282,disease,病気　疲弊
283,ease,容易さ　安楽さ / を和らげる　を取り除く
284,mental,知能の　精神的な
285,state,状態　国家　州 / を述べる
286,sweat,汗をかく / 汗
287,gene,遺伝子
288,inherent,固有の
289,basic,基礎の
290,part,部分　部分　役　地域
291,piece,一つの　部品の
292,department,部門　学科　売り場
293,arrival,到着
294,cell,細胞　電池
295,pass,通過する　合格する / を渡す / 経過する / 入場する
296,human,人間の / 人間
297,behavior,態度　行動
298,glass,ガラス　コップ一杯の
299,tube,管　チューブ
300,toward,の方へ
301,researcher,研究者
302,scholar,学習
303,variation,変化　差異　変異
304,particular,特定の　特別の
305,suggest,を提案する　を推薦する
306,influence,に影響を及ぼす / 影響　影響力
307,advice,忠告　助言
308,benefit,利益　恩恵 / 利益を得る / 利益を与える
309,aloud,声に出して
310,opportunity,機会
311,occasion,場合　行事　機会
312,close,接近した　親密な　綿密な / 閉める
313,communicate,を伝える
314,feature,特徴　顔立ち / 役割を果たす
315,trait,特色
316,feather,羽　羽毛
317,moral,道徳的な　倫理的な
318,explore,探検する　探求する
319,exploit,を利用する　を開発する　を搾取する
320,concept,概念　発想
321,notion,考え　理解　意向
322,vocabulary,語彙
323,sentence,文　判決 / に宣告する
324,structure,構造　組織　建物
325,actually,実際に　実は
326,stimulate,を刺激する　を活気づける
327,excite,を興奮させる
328,brain,脳　頭脳
329,development,発達　発展
330,growth,成長　発展
331,pioneer,開拓者　先駆者
332,frequently,しばしば　頻繁に
333,encourage,を励ます　を奨励する
334,cheer,を励ます　を応援する / 声援
335,brave,勇敢な
336,bold,大胆な　際立った
337,regular,規則的な　定期的な　通常の
338,law,法律　法則
339,assist,を助ける
340,aid,支援　救援 / を援助する
341,clerk,店員　事務員　職員
342,workforce,総労働人口　労働力
343,factory,工場
344,worldwide,世界中で / 世界的な
345,background,経歴　背景
346,select,を選ぶ / 選りすぐりの
347,customer,顧客
348,accustomed,慣れている
349,success,成功　出世
350,triumph,勝利
351,employee,従業員
352,employer,雇い主
353,hire,を雇う　を賃借する
354,dismiss,を解雇する
355,expect,を予期する　を期待する　と思う
356,sudden,突然の
357,anticipate,を予測する
358,nor ,～もまた～ない
359,neither,どちらも～しない
360,main,主要な
361,reduce,を減らす
362,diminish,減少する
363,stress,ストレス　圧力　強調 / を強調する
364,necessarily,必ず
365,necessary,必要な
366,accident,事故　偶然
367,traffic,交通
368,disaster,災害
369,save,を救う　を貯蓄する　を節約する
370,chance,見込み　機会　偶然
371,approach,取り組み　接近 / 近づく
372,deal,量　取引　扱い
373,cope,処理する
374,bear,に耐える　を産む / 熊
375,endure,に耐える
376,generally,通例　一時的に　大体
377,tend,傾向がある
378,positive,積極的な　好ましい　肯定的な
379,negative,否定の　消極的な　悪い
380,quick,短時間の　素早い
381,willing,する気がある　喜んで行う
382,responsibility,責任
383,guilty,有罪の　罪悪感を覚える
384,innocent,無罪の　無邪気な
385,commit,を犯す　関わる　を委託する
386,position,位置　立場　状況　姿勢
387,pose,ポーズをとる / もたらす
388,pause,ちょっと止める / 小休止
389,opinion,意見
390,result,結果　成績 / 結果として起こる　終わる
391,difficulty,困難
392,flexible,柔軟な
393,rigid,堅い　厳格な　硬直した
394,severe,深刻な
395,bitter,つらい　痛烈な　苦い
396,strict,厳格な　厳密な
397,tough,困難な　丈夫な
398,enough,十分に / 十分な / 必要な数
399,importance,重要性
400,arise,起きる　起因する
401,derive,を得る / 由来する
402,stem,生じる　由来する / 茎
403,delay,遅延　延期  / を遅らせる　を延期する
404,postpone,を延期する
405,prolong,を延長する
406,solve,を解決する　を解答する
407,knowledge,知識　認識
408,although,～にもかかわらず　～だが
409,appear,現れる　～と思われる
410,perform,を行う　を演奏する
411,instinct,本能　天性
412,adapt,適応する / を適応させる　を合わせる
413,adjust,を調節する　を適合させる
414,owner,持ち主　飼い主
415,possess,を所有している
416,lie,横たわっている　嘘をつく / 嘘
417,exhaust,を使い果たす　を疲れ果てさせる
418,comfort,を慰める / 快適さ　慰め
419,harsh,厳しい　不快な
420,plate,皿　料理
421,dish,皿　料理
422,handle,を操縦する　をうまく扱う / つまみ
423,furthermore,さらに
424,top,頂上　上部　最高位
425,bottom,底　最低部
426,tail,尻尾　後部
427,eventually,結局
428,tale,嘘　架空の話
429,enormous,莫大な　巨大な
430,college,大学
431,length,長さ
432,span,期間　長さ
433,meanwhile,一方では　その間に
434,organization,組織　団体
435,monitor,モニター / その間に
436,exactly,正確に　ちょうど
437,task,仕事　任務
438,duty,義務　任務　関税
439,assignment,課題　任務　割り当て
440,challenge,に意義を唱える / 難問　挑戦
441,originally,元来は　初めは
442,ancestor,先祖
443,consider,をよく考える　とみなす
444,century,世紀
445,certain,確かな
446,ensure,を確実にする　を保証する
447,assure,に保証する　を安心させる
448,region,地域
449,list,リスト　をリストにする
450,varb,動詞
451,oral,口頭での　口の
452,linguistic,言語の
453,form,形　人影 / を形作る
454,shape,形　状態
455,casual,普段の　無頓着な　偶然の
456,drive,運転する　を追いやる / syoudou
457,compound,複合の / を混ぜ合わせる　を悪化させる
458,huge,巨大な　莫大な
459,massive,巨大な　大規模な
460,mass,大衆　塊
461,technical,技術的な　専門の
462,scientific,科学的な　科学の
463,term,専門用語　学期　条件　間柄
464,semester,学期
465,finally,とうとう　ついに
466,ultimate,究極の　根本の
467,add,を加える　と言い足す
468,extra,余分の　追加の
469,spare,を省く　を惜しむ / 予備の
470,create,を想像する
471,constantly,絶えず
472,nature,自然　性質　本質
473,innate,生まれつきの
474,frustrate,をイライラさせる　を挫折させる
475,uniform,均等の　同一の / 制服
476,union,組合　連合
477,debate,議論　論争 / 討論する
478,dispute,を議論する　に反論する
479,controversy,論争
480,invent,を発明する　をでっちあげる
481,modern,現代の　近代の
482,civilization,文明
483,primitive,原始的な　原始の
484,comparison,比較　匹敵
485,stuff,詰め込む / 材料　題材
486,staff,職員
487,version,版　意見　翻訳
488,field,畑　野原　分野　競技場
489,set,を置く　を決める　を設定する
490,choose,選ぶ
491,normally,標準的に　普通は
492,involve,を含む　を巻き込む　を没頭させる
493,leather,革の
494,honor,名誉　敬意　を尊敬する
495,international,国際的な　国家間の
496,match,匹敵するモノ　試合 / 調和する
497,emperor,皇帝
498,empire,帝国
499,kingdom,王国
500,royal,国王の　王立の
501,spread,を広げる　を塗る / 普及
502,scatter,をまき散らす / 分散する
503,accumlate,蓄積する
504,popularity,人気　流行
505,possible,可能な　あり得る
506,prospect,見込み　期待　将来性
507,British,イギリス人　イギリスの
508,violent,暴力的な　激しい
509,fierce,激しい　凶暴な
510,injury,負傷　けが
511,strain,を酷使する　を痛める / 緊張　問題
512,death,死
513,fatal,致命的な　取り返しのつかない
514,fate,運命
515,alive,生きて　元気で
516,vivid,新鮮な　生き生きした
517,series,連続
518,rule,規則　支配 / 支配する
519,dominate,支配する
520,university,大学
521,forbid,を禁じる
522,realize,を実現する　に気づく　を悟る
523,perceive,を知覚する
524,skill,技術　技能
525,hurt,にけがをさせる　を傷つける
526,offend,罪を犯す　の気分を害する
527,social,社会の　社会的な
528,interaction,交流　相互作用
529,bite,かむ
530,mad,怒っている　熱中して
531,irritate,をいらだたせる
532,order,を命令する / 命令　秩序
533,mess,散らかっている
534,release,を解放する　を発売する / 解放
535,relieve,を取り除く　を安心させる
536,energy,活力　エネルギー
537,yell,大声で叫ぶ　エールを送る
538,doubtful,疑っている　疑わしい
539,whether,～かどうか　～だろうと
540,concern,に関係する　を心配させる
541,increasingly,ますます
542,decrease,減少する　を減らす
543,competitive,競争の　競争心の強い
544,rival,に劣らない　と競争する
545,adult,大人
546,childhood,子供時代
547,infant,乳児　乳児期の
548,harmony,調和
549,tune,メロディ　曲 / を調律する
550,suitable,適当な
551,decent,立派な　かなりの　親切な
552,purpose,目的
553,aim,を目標にする　努力する / 目的
554,destination,目的地
555,goal,ゴール　目標
556,mission,任務　使節
557,proper,適切な　正しい
558,estate,財産　地所　不動産
559,environment,環境
560,amaze,を驚かせる
561,astonish,を驚かせる
562,startle,をびっくりさせる
563,surprise,を驚かせる
564,charm,を魅了する  / 魅力
565,bore,を退屈させる
566,frighten,を怖がらせる
567,scare,をおびえさせる
568,tradition,伝統　慣習
569,superstition,迷信
570,religion,宗教　信仰
571,ethnic,民族の　民族的な
572,ceremony,式　礼儀
573,belief,信念　信頼　信仰
574,medieval,中世の
575,pure,純粋な　全くの
576,tribe,種族
577,folk,人々　民族の
578,heritage,遺産　伝統
579,evil,邪悪な / 害悪　邪悪
580,vice,悪
581,spirit,精神　気分　魂
582,soul,魂　精神
583,associate,を連想する / 仲間
584,fortune,財産　運命　運
585,luck,幸運　運
586,enter,に入る　に入学する　に加わる
587,wish,願う / 願い
588,pray,祈る
589,prey,獲物　犠牲者　餌食
590,fertility,繁殖能力
591,prosperity,繁栄
592,flourish,栄える　繁茂
593,ritual,儀式
594,contemporary,現代の　同時代の
595,incorporate,を取り入れる
596,combine,を組み合わせる
597,integrate,を結合する　を溶け込ませる
598,federal,連邦の
599,value,価値　価格　重要性
600,evaluate,を評価する
601,appreciate,を理解する
602,precious,貴重な　高価な
603,medical,医学の　医療の
604,clone,クローン
605,relate,を関連付ける / 関係がある
606,relevant,適切な　実質的な　関連のある
607,ordinary,普通の　ありふれた
608,odd,奇妙な奇数の　臨時の
609,opponent,反対者　相手
610,object,反対する / モノ　目的
611,insist,主張する　要求する
612,assert,を断言する
613,destroy,を破壊する
614,ruin,破壊　廃墟 / を破滅させる
615,spoil,を台無しにする　を甘やかす
616,extinct,絶滅した　廃れた
617,reliable,信頼できる　頼りになる
618,fear,恐れる　気遣う / 恐怖　心配
619,superior,優れた　上部の / 上司
620,inferior,劣った
621,argue,議論する　主張する
622,patient,患者 / 忍耐強い
623,reject,を拒絶する
624,practically,ほとんど　事実上
625,routine,型どおりの
626,stereotype,固定観念
627,receive,を受け取る
628,inherit,を相続する
629,ban,禁止する / 禁止
630,promote ,を促進する
631,boost,を高める
632,foster,を養育する　を促進する / 里親
633,maintain,を維持する　を主張する
634,retain,を保つ
635,sustain,を持続させる　を支える
636,freedom,自由
637,liberal,自由主義の
638,generous,寛大な　気前の良い
639,seek,探し求める
640,consult,に相談する　を調べる
641,unless,～でない限り
642,clearly,明らかに　はっきりと
643,obvious,明白な
644,plain,明白な　易しい　無地の
645,vague,曖昧な　ぼんやりとした
646,harmful,害のある
647,issue,問題点　発行物
648,item,項目品目
649,article,記事　品物　条項
650,fever,熱　熱狂
651,headache,頭痛
652,stroke,卒中　一撃 / をなでる
653,ful,インフルエンザ
654,obesity,肥満
655,fat,太っている 脂肪
656,lean,傾く　やせた
657,thin,薄い　痩せた　細い
658,thick,厚い　太い　濃い
659,dense,密集した　濃い
660,useless,役に立たない　無駄な
661,elaborate,手の込んだ　複雑な / 詳しく調べる
662,meal,食事
663,manage,どうにか～する　を経営する
664,boss,上司　雇用主　社長
665,preserve,を保存する を維持する　を守る
666,conservation,補語
667,connittee,委員会　委員
668,education,教育
669,instruct,に教える　に指示する
670,figure,と思う / 図形　数学
671,chart,図　海図
672,decade,10年間
673,national,全国的な　国家の　国民の
674,native,出生地の　固有の
675,citizen,国民　市民
676,daily,毎日の　日常の
677,steady,固定された　落ち着いた　一定の
678,stable,安定した
679,decline,減少する / 減少 / を断る
680,option,選択
681,adopt,を採用する　を養子にする
682,kid,冗談を言う　子供
683,schedule,を予定する / スケジュール
684,scheme,計画　悪巧み / 企む
685,teenager,10代の若者
686,merely,単に
687,factor,要因　因子
688,predict,を予言する
689,forecast,を予報する　を予想する
690,achivement,達成　業績
691,accomplish,を成し遂げる
692,attain,に達する　を成し遂げる
693,fullfill,を果たす　を満たす
694,score,得点　楽譜 / を得点する
695,far,遠くに　大いに / 遠い
696,worship,礼拝する　を崇拝する　を尊敬する
697,art,美術　芸術　技術
698,nearly,ほとんど
699,adolescent,青年 / 青年期の
700,cite,を引用する
701,quote,を引用する
702,poll,世論調査
703,rate,を評価する　割合　速度
704,grandparent,祖父母
705,cousin,いとこ
706,pupil,生徒　弟子
707,laugh,笑う
708,lend,を貸す
709,rent,を賃貸する / 賃貸料
710,shake,を振り動かす
711,climb,登る
712,leap,跳ぶ / 飛躍
713,greet,に挨拶をする　を出迎える
714,mathematics,数学
715,statistics,統計学
716,industrial,産業の
717,lazy,怠けものの　くつろいだ
718,revolution,革命　回転
719,mostly,大抵は
720,astronomy,天文学
721,satellite,人工衛星
722,launch,を開始する　を打ち上げる
723,equation,方程式　均衡
724,peer,同僚 / 凝視する
725,equivalent,同等の　相当する
726,method,方法
727,means,手段　財力
728,unfortunately,不幸にも
729,miserable,惨めな
730,critical,批判的な　重大な　危機的な
731,attitude,態度　姿勢　考え方
732,turn,回転する　曲がる　変わる
733,bend,を曲げる　 / 屈服する
734,curve,曲線
735,statue,像
736,blame,を避難する　のせいにする / 非難
737,accuse,を訴える　を非難する
738,condemn,を責める
739,typically,典型的に　概して
740,rural,田舎の
741,suburb,郊外
742,urban,都市の
743,low,低い 少ない / 低く　少なく
744,currently,現在
745,cash,現金
746,so-called,いわゆる　自称の
747,hypothesis,仮説　前提
748,premise,前提
749,assume,と思い込む　仮定する　を引き受ける
750,risk,危険性 / を危険にさらす　あえて～する
751,nowadays,この頃　最近では
752,bathe,入浴する
753,dust,ほこり　ちり
754,expose,にさらす　を露出する　を暴露する
755,shelter,住まい
756,substance,物質　重要性　本質
757,trend,流行　傾向
758,fashion,流行　やり方
759,encounter,に出くわす　に直面する / 出会い
760,share,を共有する　を分配する　分担する
761,wide,広い
762,widespread,広範囲にわたる
763,expand,っっｓ
764,broad,広い　広範囲の
765,narrow,狭い　かろうじて
766,range,範囲　及ぶ　を並べる
767,data,データ　資料
768,income,収入
769,level,程度　水準　段階
770,thus,このようにして
771,hence,したがって
772,attention,注意　注目　　世話
773,alert,油断のない　機敏な / 注意を呼びかける
774,awake,を起こす　目覚める
775,asleep,眠って
776,victim,犠牲者　生け贄
777,sacrifice,を犠牲にする / 犠牲
778,major,主要な　大部分の　重大な / 専攻する
779,chief,長　最高位の　主要な
780,primary,主要な　初等の　根本の
781,principal,主要な　校長　主役
782,principle,主義　方針　原則
783,shock,衝撃　打撃 / に衝撃を与える
784,thrill,ゾクゾクする
785,weak,弱い
786,minor,それほど需要でない　少数の
787,accept,を受け入れる　を承認する
788,obey,に従う　を守る
789,indeed,本当に　実際は　実に
790,emphasize,強調する
791,exaggerate,を誇張する　を強調する
792,upset,を慌てさせる　ひっくり返す　取り乱す
793,spill,をこぼす　こぼれる
794,investigate,を調査する
795,inquire,尋ねる
796,painful,痛い　つらい　骨の折れる
797,personally,個人的には　自分自身で
798,disturb,を乱す　を邪魔する　不安にする
799,distress,苦悩　披露　困窮
800,interfere,妨げとなる
801,interrupt,さえぎる　中断する
802,topic,話題　論題
803,period,期間　時期　時代
804,afterwards,跡で　後に
805,reveal,を明らかにする　を示す
806,conceal,を隠す　を秘密にする
807,inner,内部の　内面の
808,center,中心　中央　センター
809,core,核心　中心
810,illness,病気
811,symptom,兆候　症状
812,everyday,毎日の　日常の
813,exercise,運動　練習　課題
814,highly,非常に　高く
815,including,を含めて
816,embrace,を抱きしめる
817,lonely,寂しい　孤独の
818,immediately,即座に
819,sample,見本　サンプル
820,evidence,証拠　形跡
821,witness,目撃者　証人
822,improve,を改良する　良くなる
823,progress,全身　進歩 / 進歩する
824,reform,改革 / 改善する
825,resistance,抵抗
826,fight,戦う　けんか　戦い
827,battle,戦闘　競争
828,conflict,対立する　矛盾する
829,sensitivity,感じやすさ
830,invade,に侵入する　を侵害する
831,individual,個人　個々の　個人の
832,propose,を提案する　をもくろむ　申し込む
833,project,計画 / を見積もる　を投影する
834,failure,失敗　怠惰
835,silence,沈黙　静けさ
836,revise,を変更する　を改訂する
837,exotic,異国風の
838,external,外の　うわべの / 外部
839,interior,内部 / 内側の　内部の
840,internal,内部の　体内の
841,absurd,不合理な　馬鹿げた
842,fool,愚か者
843,silly,愚かな
844,stupid,馬鹿な
845,lovely,美しい　素敵な
846,dull,退屈な　くすんだ　曇った
847,ugly,醜い　不快な
848,selfish,利己的な
849,deliberately,恋に
850,aspect,側面　局面　観点
851,truth,真実　事実
852,genuine,本物の　心からの
853,fiction,小説　作り話
854,myth,神話　作り話
855,deceive,をだます
856,pretend,ふりをする　装う
857,intend,～するつもりだ
858,impression,印象　感動
859,grand,壮大な　偉大な　威厳のある
860,acquaintance,知人　知識
861,dollar,ドル
862,fantastic,素敵な　途方もない　架空の
863,illusion,幻想　錯覚
864,purchase,を買う / 購入
865,specific,特定の　明確な
866,candidate,候補　志願者
867,political,政治上の
868,campaign,運動　練習　課題
869,strategy,戦略　方策
870,policy,政策　信条
871,trick,をだます / 計略　いたずら
872,vote,投票する
873,govern,を統治する　を決定する
874,administration,政権　政府　行政
875,minister,大臣
876,gain,を手に入れる　を増す / 利益　増大
877,election,選挙　当選
878,race,競争　人種
